instrument,symbol,expiryDate,strikePrice,optionType,contracts,hammer,cmTdyClose,cmPrcntChgInClose,foTdyClose,foPrcntChgInClose,tdyOI,prcntChgInOI,tdyDelivery,prcntChgInDelivery,tdyDate,cmPrevsClose,foPrevsClose,prevsOI,prevsDelivery,prevsDate
FUTSTK,MUTHOOTFIN,29-Aug-0019,0.0,XX,1029,,622.95,-2.0,624.1,0.0,793500,0.0,246471,-33.0,28-Aug-0019,635.5,624.1,793500,370427,28-Aug-0019
FUTSTK,BSOFT,29-Aug-0019,0.0,XX,470,,66.95,4.0,67.0,0.0,816000,0.0,366370,-52.0,28-Aug-0019,64.55,67.0,816000,755705,28-Aug-0019
FUTSTK,ICICIPRULI,29-Aug-0019,0.0,XX,5760,,416.95,5.0,418.2,0.0,1596000,0.0,1979369,169.0,28-Aug-0019,398.95,418.2,1596000,735112,28-Aug-0019
FUTSTK,GRASIM,29-Aug-0019,0.0,XX,5033,,713.5,-1.0,714.05,0.0,1546500,0.0,280182,-61.0,28-Aug-0019,723.95,714.05,1546500,710794,28-Aug-0019
FUTSTK,PETRONET,29-Aug-0019,0.0,XX,2420,Hammer,260.05,1.0,259.65,0.0,2880000,0.0,1759736,-63.0,28-Aug-0019,258.5,259.65,2880000,4745948,28-Aug-0019
FUTSTK,BANKINDIA,29-Aug-0019,0.0,XX,4345,,67.7,-2.0,67.8,0.0,6918000,0.0,639412,-25.0,28-Aug-0019,69.3,67.8,6918000,849907,28-Aug-0019
FUTSTK,CONCOR,29-Aug-0019,0.0,XX,831,,485.2,-2.0,486.8,0.0,653334,0.0,317955,-54.0,28-Aug-0019,495.8,486.8,653334,692941,28-Aug-0019
FUTSTK,ASHOKLEY,29-Aug-0019,0.0,XX,8828,,66.75,0.0,66.4,0.0,18300000,0.0,4909290,-65.0,28-Aug-0019,66.65,66.4,18300000,13933460,28-Aug-0019
FUTSTK,STAR,29-Aug-0019,0.0,XX,1333,,373.75,-1.0,374.15,0.0,884400,0.0,81539,-45.0,28-Aug-0019,378.75,374.15,884400,148723,28-Aug-0019
FUTSTK,IDEA,29-Aug-0019,0.0,XX,9148,,5.0,-6.0,4.95,0.0,201880000,0.0,46816890,-7.0,28-Aug-0019,5.3,4.95,201880000,50101511,28-Aug-0019
FUTSTK,INDIGO,29-Aug-0019,0.0,XX,5635,,1659.25,1.0,1659.15,0.0,981000,0.0,84891,-74.0,28-Aug-0019,1648.6,1659.15,981000,322513,28-Aug-0019
FUTSTK,MGL,29-Aug-0019,0.0,XX,1967,,855.35,-1.0,846.15,0.0,993000,0.0,165941,-83.0,28-Aug-0019,861.15,846.15,993000,990345,28-Aug-0019
FUTSTK,M&MFIN,29-Aug-0019,0.0,XX,4595,,319.75,-5.0,319.8,0.0,1775000,0.0,518384,-74.0,28-Aug-0019,337.1,319.8,1775000,2027237,28-Aug-0019
FUTSTK,AMARAJABAT,29-Aug-0019,0.0,XX,1380,,612.6,-2.0,611.9,0.0,614600,0.0,63147,20.0,28-Aug-0019,622.7,611.9,614600,52836,28-Aug-0019
FUTSTK,TATACHEM,29-Aug-0019,0.0,XX,2064,,565.0,1.0,565.45,0.0,516600,0.0,205659,-35.0,28-Aug-0019,559.7,565.45,516600,316987,28-Aug-0019
FUTSTK,HDFC,29-Aug-0019,0.0,XX,16787,,2187.15,1.0,2184.05,0.0,4724000,0.0,1675762,-67.0,28-Aug-0019,2174.3,2184.05,4724000,5104126,28-Aug-0019
FUTSTK,BHARTIARTL,29-Aug-0019,0.0,XX,8529,,345.8,-1.0,345.65,0.0,9654816,0.0,1993897,-92.0,28-Aug-0019,348.3,345.65,9654816,24092969,28-Aug-0019
FUTSTK,EXIDEIND,29-Aug-0019,0.0,XX,1183,,178.4,-2.0,178.45,0.0,2836800,0.0,200726,-25.0,28-Aug-0019,182.85,178.45,2836800,265950,28-Aug-0019
FUTSTK,ADANIPORTS,29-Aug-0019,0.0,XX,3155,,365.95,-2.0,366.8,0.0,5642500,0.0,853895,-33.0,28-Aug-0019,372.05,366.8,5642500,1277053,28-Aug-0019
FUTSTK,BAJAJFINSV,29-Aug-0019,0.0,XX,4915,,7035.95,-1.0,7043.25,0.0,255625,0.0,73053,-71.0,28-Aug-0019,7126.5,7043.25,255625,248332,28-Aug-0019
FUTSTK,MCDOWELL-N,29-Aug-0019,0.0,XX,3341,,599.8,0.0,600.2,0.0,2567500,0.0,434230,-57.0,28-Aug-0019,599.55,600.2,2567500,1005844,28-Aug-0019
FUTSTK,TATAMOTORS,29-Aug-0019,0.0,XX,24633,,116.35,-3.0,116.35,0.0,16221000,0.0,4810892,-47.0,28-Aug-0019,120.35,116.35,16221000,9082917,28-Aug-0019
FUTSTK,SUNPHARMA,29-Aug-0019,0.0,XX,11298,,413.1,-1.0,412.65,0.0,9013400,0.0,506965,-81.0,28-Aug-0019,416.75,412.65,9013400,2725453,28-Aug-0019
FUTSTK,JINDALSTEL,29-Aug-0019,0.0,XX,8963,,95.8,-8.0,95.8,0.0,8604800,0.0,3165541,71.0,28-Aug-0019,104.05,95.8,8604800,1852197,28-Aug-0019
FUTSTK,LUPIN,29-Aug-0019,0.0,XX,3377,,732.1,-1.0,733.1,0.0,1814400,0.0,177284,-56.0,28-Aug-0019,738.85,733.1,1814400,402792,28-Aug-0019
FUTSTK,NESTLEIND,29-Aug-0019,0.0,XX,3735,,12517.4,0.0,12527.65,0.0,55750,0.0,51284,-19.0,28-Aug-0019,12472.35,12527.65,55750,63068,28-Aug-0019
FUTSTK,RELCAPITAL,29-Aug-0019,0.0,XX,3322,,34.65,-4.0,34.6,0.0,4905000,0.0,1412300,-24.0,28-Aug-0019,36.2,34.6,4905000,1850083,28-Aug-0019
FUTSTK,CESC,29-Aug-0019,0.0,XX,748,,765.6,-1.0,764.7,0.0,188800,0.0,119730,15.0,28-Aug-0019,775.75,764.7,188800,104246,28-Aug-0019
FUTSTK,BERGEPAINT,29-Aug-0019,0.0,XX,829,,366.4,0.0,366.4,0.0,1262800,0.0,236668,-38.0,28-Aug-0019,368.05,366.4,1262800,382333,28-Aug-0019
FUTSTK,SIEMENS,29-Aug-0019,0.0,XX,969,,1177.95,-2.0,1176.5,0.0,411950,0.0,28761,-81.0,28-Aug-0019,1196.8,1176.5,411950,153207,28-Aug-0019
FUTSTK,BOSCHLTD,29-Aug-0019,0.0,XX,1922,,14198.45,-2.0,14146.9,0.0,31320,0.0,3841,-75.0,28-Aug-0019,14494.2,14146.9,31320,15155,28-Aug-0019
FUTSTK,SRTRANSFIN,29-Aug-0019,0.0,XX,2962,,991.65,-3.0,992.55,0.0,1244400,0.0,278787,-50.0,28-Aug-0019,1019.6,992.55,1244400,559342,28-Aug-0019
FUTSTK,MANAPPURAM,29-Aug-0019,0.0,XX,1350,,121.5,-1.0,121.4,0.0,4620000,0.0,761714,-83.0,28-Aug-0019,122.4,121.4,4620000,4492182,28-Aug-0019
FUTSTK,TATASTEEL,29-Aug-0019,0.0,XX,16874,,336.95,-4.0,337.05,0.0,10090110,0.0,1663311,-56.0,28-Aug-0019,350.9,337.05,10090110,3820125,28-Aug-0019
FUTSTK,GAIL,29-Aug-0019,0.0,XX,4152,,128.05,-2.0,128.15,0.0,12540234,0.0,6092470,-42.0,28-Aug-0019,130.2,128.15,12540234,10419715,28-Aug-0019
FUTSTK,GMRINFRA,29-Aug-0019,0.0,XX,1392,,15.25,-1.0,15.3,0.0,58950000,0.0,1546568,-84.0,28-Aug-0019,15.45,15.3,58950000,9777809,28-Aug-0019
FUTSTK,BAJFINANCE,29-Aug-0019,0.0,XX,17492,,3326.35,-1.0,3328.85,0.0,1228250,0.0,145691,-71.0,28-Aug-0019,3357.75,3328.85,1228250,500362,28-Aug-0019
FUTSTK,HEXAWARE,29-Aug-0019,0.0,XX,1174,,386.65,-2.0,387.75,0.0,895500,0.0,193712,-50.0,28-Aug-0019,393.15,387.75,895500,388399,28-Aug-0019
FUTSTK,MCX,29-Aug-0019,0.0,XX,1883,,942.75,3.0,942.7,0.0,435400,0.0,335481,34.0,28-Aug-0019,913.2,942.7,435400,250428,28-Aug-0019
FUTSTK,COLPAL,29-Aug-0019,0.0,XX,1191,,1213.05,1.0,1215.8,0.0,406700,0.0,91776,-34.0,28-Aug-0019,1202.05,1215.8,406700,139849,28-Aug-0019
FUTSTK,DLF,29-Aug-0019,0.0,XX,11150,,164.2,2.0,163.65,0.0,8537200,0.0,3961259,435.0,28-Aug-0019,160.75,163.65,8537200,740944,28-Aug-0019
FUTSTK,VEDL,29-Aug-0019,0.0,XX,8867,,132.35,-4.0,132.35,0.0,15513000,0.0,1883141,-53.0,28-Aug-0019,138.1,132.35,15513000,3987942,28-Aug-0019
FUTSTK,SBIN,29-Aug-0019,0.0,XX,20180,,284.9,0.0,284.5,0.0,37872000,0.0,5072283,-72.0,28-Aug-0019,285.7,284.5,37872000,18294675,28-Aug-0019
FUTSTK,MOTHERSUMI,29-Aug-0019,0.0,XX,6424,,97.6,-4.0,97.65,0.0,10022100,0.0,2242455,-48.0,28-Aug-0019,101.75,97.65,10022100,4291065,28-Aug-0019
FUTSTK,PIDILITIND,29-Aug-0019,0.0,XX,2128,,1378.35,0.0,1377.65,0.0,497000,0.0,53096,-83.0,28-Aug-0019,1371.85,1377.65,497000,308885,28-Aug-0019
FUTSTK,ENGINERSIN,29-Aug-0019,0.0,XX,1066,,104.1,-2.0,104.25,0.0,2143600,0.0,762135,-4.0,28-Aug-0019,106.05,104.25,2143600,797226,28-Aug-0019
FUTSTK,BIOCON,29-Aug-0019,0.0,XX,4500,,220.85,-3.0,220.35,0.0,1857600,0.0,1203031,-19.0,28-Aug-0019,228.85,220.35,1857600,1485671,28-Aug-0019
FUTSTK,OIL,29-Aug-0019,0.0,XX,1289,,144.0,-3.0,144.0,0.0,1515954,0.0,834422,-34.0,28-Aug-0019,149.0,144.0,1515954,1260545,28-Aug-0019
FUTSTK,TORNTPOWER,29-Aug-0019,0.0,XX,961,,280.85,-1.0,280.25,0.0,1140000,0.0,298700,-21.0,28-Aug-0019,283.35,280.25,1140000,376351,28-Aug-0019
FUTSTK,IBULHSGFIN,29-Aug-0019,0.0,XX,30308,,457.25,-3.0,456.35,0.0,5761600,0.0,1325787,-30.0,28-Aug-0019,471.5,456.35,5761600,1887161,28-Aug-0019
FUTSTK,DIVISLAB,29-Aug-0019,0.0,XX,3285,,1576.65,-1.0,1578.25,0.0,392000,0.0,124408,-64.0,28-Aug-0019,1593.55,1578.25,392000,348938,28-Aug-0019
FUTSTK,UJJIVAN,29-Aug-0019,0.0,XX,3005,,283.8,-2.0,284.0,0.0,2209600,0.0,248504,-79.0,28-Aug-0019,291.0,284.0,2209600,1168716,28-Aug-0019
FUTSTK,OFSS,29-Aug-0019,0.0,XX,210,,3006.45,0.0,3005.85,0.0,74400,0.0,7262,0.0,28-Aug-0019,3010.7,3005.85,74400,7239,28-Aug-0019
FUTSTK,ULTRACEMCO,29-Aug-0019,0.0,XX,5331,,4119.8,0.0,4126.0,0.0,651200,0.0,199195,-78.0,28-Aug-0019,4135.7,4126.0,651200,888730,28-Aug-0019
FUTSTK,LICHSGFIN,29-Aug-0019,0.0,XX,5663,,417.8,-2.0,417.7,0.0,3117400,0.0,1148108,-34.0,28-Aug-0019,427.6,417.7,3117400,1733393,28-Aug-0019
FUTSTK,NATIONALUM,29-Aug-0019,0.0,XX,1302,,39.85,-2.0,39.8,0.0,6280000,0.0,1472517,-27.0,28-Aug-0019,40.8,39.8,6280000,2013296,28-Aug-0019
FUTSTK,IDFCFIRSTB,29-Aug-0019,0.0,XX,5954,,42.15,-3.0,41.75,0.0,24900000,0.0,9043057,53.0,28-Aug-0019,43.25,41.75,24900000,5919746,28-Aug-0019
FUTSTK,CIPLA,29-Aug-0019,0.0,XX,4717,,464.25,0.0,465.2,0.0,3357000,0.0,470499,-72.0,28-Aug-0019,465.35,465.2,3357000,1696215,28-Aug-0019
FUTSTK,EICHERMOT,29-Aug-0019,0.0,XX,10085,,16297.45,2.0,16308.1,0.0,127000,0.0,63635,-52.0,28-Aug-0019,15995.4,16308.1,127000,131804,28-Aug-0019
FUTSTK,AMBUJACEM,29-Aug-0019,0.0,XX,2794,,205.0,0.0,205.05,0.0,4557500,0.0,576190,-44.0,28-Aug-0019,205.1,205.05,4557500,1021959,28-Aug-0019
FUTSTK,ITC,29-Aug-0019,0.0,XX,12495,Hammer,245.95,0.0,245.4,0.0,29829600,0.0,5401010,-48.0,28-Aug-0019,245.5,245.4,29829600,10404417,28-Aug-0019
FUTSTK,ADANIENT,29-Aug-0019,0.0,XX,2995,Hammer,135.95,-1.0,135.2,0.0,6692000,0.0,976233,71.0,28-Aug-0019,137.15,135.2,6692000,571911,28-Aug-0019
FUTSTK,HDFCBANK,29-Aug-0019,0.0,XX,29156,Hammer,2247.5,-1.0,2249.5,0.0,7300000,0.0,1934486,-41.0,28-Aug-0019,2259.95,2249.5,7300000,3252574,28-Aug-0019
FUTSTK,CENTURYTEX,29-Aug-0019,0.0,XX,3146,,847.2,-1.0,846.35,0.0,682800,0.0,54079,-45.0,28-Aug-0019,851.95,846.35,682800,97899,28-Aug-0019
FUTSTK,TCS,29-Aug-0019,0.0,XX,20743,Hammer,2239.25,0.0,2240.3,0.0,2880250,0.0,538431,-78.0,28-Aug-0019,2236.5,2240.3,2880250,2396488,28-Aug-0019
FUTSTK,TATAMTRDVR,29-Aug-0019,0.0,XX,3753,,53.65,-4.0,53.6,0.0,9606000,0.0,1473573,-60.0,28-Aug-0019,55.85,53.6,9606000,3649572,28-Aug-0019
FUTSTK,JUBLFOOD,29-Aug-0019,0.0,XX,4980,,1185.25,-1.0,1187.85,0.0,480500,0.0,291755,7.0,28-Aug-0019,1197.8,1187.85,480500,273663,28-Aug-0019
FUTSTK,VOLTAS,29-Aug-0019,0.0,XX,2778,,625.05,1.0,626.05,0.0,1184000,0.0,639060,-54.0,28-Aug-0019,618.25,626.05,1184000,1386628,28-Aug-0019
FUTSTK,L&TFH,29-Aug-0019,0.0,XX,4936,,94.5,-4.0,94.65,0.0,9598500,0.0,1787261,19.0,28-Aug-0019,98.25,94.65,9598500,1502353,28-Aug-0019
FUTSTK,RELINFRA,29-Aug-0019,0.0,XX,2024,,38.3,-5.0,38.25,0.0,4332000,0.0,2197027,-37.0,28-Aug-0019,40.15,38.25,4332000,3501097,28-Aug-0019
FUTSTK,ARVIND,29-Aug-0019,0.0,XX,1251,,46.55,-4.0,46.5,0.0,2106000,0.0,810251,-48.0,28-Aug-0019,48.55,46.5,2106000,1543901,28-Aug-0019
FUTSTK,MFSL,29-Aug-0019,0.0,XX,1066,,430.25,-2.0,431.0,0.0,778800,0.0,647242,9.0,28-Aug-0019,439.2,431.0,778800,594805,28-Aug-0019
FUTSTK,CUMMINSIND,29-Aug-0019,0.0,XX,2141,,569.6,0.0,570.25,0.0,739200,0.0,632514,153.0,28-Aug-0019,568.2,570.25,739200,250149,28-Aug-0019
FUTSTK,CADILAHC,29-Aug-0019,0.0,XX,3445,,223.25,2.0,222.5,0.0,1763200,0.0,1509455,52.0,28-Aug-0019,218.15,222.5,1763200,991243,28-Aug-0019
FUTSTK,GODREJCP,29-Aug-0019,0.0,XX,3158,Hammer,600.2,-1.0,598.5,0.0,1068000,0.0,565447,-24.0,28-Aug-0019,603.6,598.5,1068000,746371,28-Aug-0019
FUTSTK,DRREDDY,29-Aug-0019,0.0,XX,4701,,2512.1,-1.0,2514.85,0.0,786750,0.0,118396,-60.0,28-Aug-0019,2540.7,2514.85,786750,293658,28-Aug-0019
FUTSTK,FEDERALBNK,29-Aug-0019,0.0,XX,3459,,81.85,-3.0,81.85,0.0,16632000,0.0,6470035,5.0,28-Aug-0019,84.05,81.85,16632000,6164526,28-Aug-0019
FUTSTK,NMDC,29-Aug-0019,0.0,XX,2770,,81.0,-3.0,80.9,0.0,5466000,0.0,939600,-65.0,28-Aug-0019,83.8,80.9,5466000,2714104,28-Aug-0019
FUTSTK,EQUITAS,29-Aug-0019,0.0,XX,2081,,105.0,-5.0,104.7,0.0,4120000,0.0,659701,-41.0,28-Aug-0019,110.2,104.7,4120000,1119428,28-Aug-0019
